InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536375,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,01-12-2010 09:32,2.55,17850,United Kingdom
536375,71053,WHITE METAL LANTERN,6,01-12-2010 09:32,3.39,17850,United Kingdom
536375,84406B,CREAM CUPID HEARTS COAT HANGER,8,01-12-2010 09:32,2.75,17850,United Kingdom
536375,20679,EDWARDIAN PARASOL RED,6,01-12-2010 09:32,4.95,17850,United Kingdom
536375,37370,RETRO COFFEE MUGS ASSORTED,6,01-12-2010 09:32,1.06,17850,United Kingdom
536375,21871,SAVE THE PLANET MUG,6,01-12-2010 09:32,1.06,17850,United Kingdom
536375,21071,VINTAGE BILLBOARD DRINK ME MUG,6,01-12-2010 09:32,1.06,17850,United Kingdom
536375,21068,VINTAGE BILLBOARD LOVE/HATE MUG,6,01-12-2010 09:32,1.06,17850,United Kingdom
536375,82483,WOOD 2 DRAWER CABINET WHITE FINISH,2,01-12-2010 09:32,4.95,17850,United Kingdom
536375,82486,WOOD S/3 CABINET ANT WHITE FINISH,4,01-12-2010 09:32,6.95,17850,United Kingdom
536375,82482,WOODEN PICTURE FRAME WHITE FINISH,6,01-12-2010 09:32,2.1,17850,United Kingdom
536375,82494L,WOODEN FRAME ANTIQUE WHITE ,6,01-12-2010 09:32,2.55,17850,United Kingdom
536375,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,01-12-2010 09:32,3.39,17850,United Kingdom
536375,84029E,RED WOOLLY HOTTIE WHITE HEART.,6,01-12-2010 09:32,3.39,17850,United Kingdom
536375,22752,SET 7 BABUSHKA NESTING BOXES,2,01-12-2010 09:32,7.65,17850,United Kingdom
536375,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,01-12-2010 09:32,4.25,17850,United Kingdom
536376,22114,HOT WATER BOTTLE TEA AND SYMPATHY,48,01-12-2010 09:32,3.45,15291,United Kingdom
536376,21733,RED HANGING HEART T-LIGHT HOLDER,64,01-12-2010 09:32,2.55,15291,United Kingdom
536377,22632,HAND WARMER RED POLKA DOT,6,01-12-2010 09:34,1.85,17850,United Kingdom
536377,22633,HAND WARMER UNION JACK,6,01-12-2010 09:34,1.85,17850,United Kingdom
536378,22386,JUMBO BAG PINK POLKADOT,10,01-12-2010 09:37,1.95,14688,United Kingdom
536378,85099C,JUMBO  BAG BAROQUE BLACK WHITE,10,01-12-2010 09:37,1.95,14688,United Kingdom
536378,21033,JUMBO BAG CHARLIE AND LOLA TOYS,10,01-12-2010 09:37,2.95,14688,United Kingdom
536378,20723,STRAWBERRY CHARLOTTE BAG,10,01-12-2010 09:37,0.85,14688,United Kingdom
536378,84997B,RED 3 PIECE RETROSPOT CUTLERY SET,12,01-12-2010 09:37,3.75,14688,United Kingdom
536378,84997C,BLUE 3 PIECE POLKADOT CUTLERY SET,6,01-12-2010 09:37,3.75,14688,United Kingdom
536378,21094,SET/6 RED SPOTTY PAPER PLATES,12,01-12-2010 09:37,0.85,14688,United Kingdom
536378,20725,LUNCH BAG RED RETROSPOT,10,01-12-2010 09:37,1.65,14688,United Kingdom
536378,21559,STRAWBERRY LUNCH BOX WITH CUTLERY,6,01-12-2010 09:37,2.55,14688,United Kingdom
536378,22352,LUNCH BOX WITH CUTLERY RETROSPOT ,6,01-12-2010 09:37,2.55,14688,United Kingdom
536378,21212,PACK OF 72 RETROSPOT CAKE CASES,120,01-12-2010 09:37,0.42,14688,United Kingdom
536378,21975,PACK OF 60 DINOSAUR CAKE CASES,24,01-12-2010 09:37,0.55,14688,United Kingdom
536389,22941,CHRISTMAS LIGHTS 10 REINDEER,6,01-12-2010 10:03,8.5,12431,Australia
536389,21622,VINTAGE UNION JACK CUSHION COVER,8,01-12-2010 10:03,4.95,12431,Australia
536389,21791,VINTAGE HEADS AND TAILS CARD GAME ,12,01-12-2010 10:03,1.25,12431,Australia
536389,35004C,SET OF 3 COLOURED  FLYING DUCKS,6,01-12-2010 10:03,5.45,12431,Australia
536389,35004G,SET OF 3 GOLD FLYING DUCKS,4,01-12-2010 10:03,6.35,12431,Australia
536389,85014B,RED RETROSPOT UMBRELLA,6,01-12-2010 10:03,5.95,12431,Australia
536389,85014A,BLACK/BLUE POLKADOT UMBRELLA,3,01-12-2010 10:03,5.95,12431,Australia
536389,22193,RED DINER WALL CLOCK,2,01-12-2010 10:03,8.5,12431,Australia
536389,22726,ALARM CLOCK BAKELIKE GREEN,4,01-12-2010 10:03,3.75,12431,Australia
536389,22727,ALARM CLOCK BAKELIKE RED ,4,01-12-2010 10:03,3.75,12431,Australia
536389,22192,BLUE DINER WALL CLOCK,2,01-12-2010 10:03,8.5,12431,Australia
536389,22191,IVORY DINER WALL CLOCK,2,01-12-2010 10:03,8.5,12431,Australia
536389,22195,LARGE HEART MEASURING SPOONS,24,01-12-2010 10:03,1.65,12431,Australia
536389,22196,SMALL HEART MEASURING SPOONS,24,01-12-2010 10:03,0.85,12431,Australia
536531,22768,FAMILY PHOTO FRAME CORNICE,6,01-12-2010 13:23,9.95,15485,United Kingdom
536532,84692,BOX OF 24 COCKTAIL PARASOLS,50,01-12-2010 13:24,0.42,12433,Norway
536532,22444,GROW YOUR OWN PLANT IN A CAN ,96,01-12-2010 13:24,1.06,12433,Norway
536532,22899,CHILDREN'S APRON DOLLY GIRL ,8,01-12-2010 13:24,2.1,12433,Norway
536532,21156,RETROSPOT CHILDRENS APRON,8,01-12-2010 13:24,1.95,12433,Norway
536532,22556,PLASTERS IN TIN CIRCUS PARADE ,24,01-12-2010 13:24,1.65,12433,Norway
536532,22555,PLASTERS IN TIN STRONGMAN,36,01-12-2010 13:24,1.65,12433,Norway
536532,22554,PLASTERS IN TIN WOODLAND ANIMALS,24,01-12-2010 13:24,1.65,12433,Norway
536532,22553,PLASTERS IN TIN SKULLS,24,01-12-2010 13:24,1.65,12433,Norway
536532,22551,PLASTERS IN TIN SPACEBOY,24,01-12-2010 13:24,1.65,12433,Norway
536532,22547,MINI JIGSAW DINOSAUR ,24,01-12-2010 13:24,0.42,12433,Norway
536532,22544,MINI JIGSAW SPACEBOY,24,01-12-2010 13:24,0.42,12433,Norway
536532,22543,MINI JIGSAW BAKE A CAKE ,24,01-12-2010 13:24,0.42,12433,Norway
536532,22540,MINI JIGSAW CIRCUS PARADE ,24,01-12-2010 13:24,0.42,12433,Norway
536532,22539,MINI JIGSAW DOLLY GIRL,24,01-12-2010 13:24,0.42,12433,Norway
536532,22534,MAGIC DRAWING SLATE SPACEBOY ,24,01-12-2010 13:24,0.42,12433,Norway
536532,22530,MAGIC DRAWING SLATE DOLLY GIRL ,24,01-12-2010 13:24,0.42,12433,Norway
536532,22531,MAGIC DRAWING SLATE CIRCUS PARADE  ,24,01-12-2010 13:24,0.42,12433,Norway
536532,22561,WOODEN SCHOOL COLOURING SET,24,01-12-2010 13:24,1.65,12433,Norway
536532,22489,PACK OF 12 TRADITIONAL CRAYONS,24,01-12-2010 13:24,0.42,12433,Norway
536532,22814,CARD PARTY GAMES ,12,01-12-2010 13:24,0.42,12433,Norway
536532,21520,BOOZE & WOMEN GREETING CARD ,12,01-12-2010 13:24,0.42,12433,Norway
536532,21506,"FANCY FONT BIRTHDAY CARD, ",12,01-12-2010 13:24,0.42,12433,Norway
536532,22716,CARD CIRCUS PARADE,12,01-12-2010 13:24,0.42,12433,Norway
536532,22866,HAND WARMER SCOTTY DOG DESIGN,12,01-12-2010 13:24,2.1,12433,Norway
536532,22632,HAND WARMER RED RETROSPOT,12,01-12-2010 13:24,2.1,12433,Norway
536532,22865,HAND WARMER OWL DESIGN,12,01-12-2010 13:24,2.1,12433,Norway
536532,22114,HOT WATER BOTTLE TEA AND SYMPATHY,8,01-12-2010 13:24,3.95,12433,Norway
536532,21982,PACK OF 12 SUKI TISSUES ,48,01-12-2010 13:24,0.29,12433,Norway
536532,21981,PACK OF 12 WOODLAND TISSUES ,48,01-12-2010 13:24,0.29,12433,Norway
536532,21967,PACK OF 12 SKULL TISSUES,48,01-12-2010 13:24,0.29,12433,Norway
536532,22092,BLUE PAISLEY TISSUE BOX,12,01-12-2010 13:24,1.25,12433,Norway
536532,21983,PACK OF 12 BLUE PAISLEY TISSUES ,48,01-12-2010 13:24,0.29,12433,Norway
536532,22615,PACK OF 12 CIRCUS PARADE TISSUES ,48,01-12-2010 13:24,0.29,12433,Norway
536532,21980,PACK OF 12 RED RETROSPOT TISSUES ,48,01-12-2010 13:24,0.29,12433,Norway
536532,22614,PACK OF 12 SPACEBOY TISSUES,48,01-12-2010 13:24,0.29,12433,Norway
536532,22095,LADS ONLY TISSUE BOX,12,01-12-2010 13:24,1.25,12433,Norway
536532,22094,RED RETROSPOT TISSUE BOX,12,01-12-2010 13:24,1.25,12433,Norway
536532,21984,PACK OF 12 PINK PAISLEY TISSUES ,48,01-12-2010 13:24,0.29,12433,Norway
536532,22557,PLASTERS IN TIN VINTAGE PAISLEY ,36,01-12-2010 13:24,1.65,12433,Norway
536532,21786,POLKADOT RAIN HAT ,24,01-12-2010 13:24,0.42,12433,Norway
536532,21080,SET/20 RED RETROSPOT PAPER NAPKINS ,36,01-12-2010 13:24,0.85,12433,Norway
536532,22963,JAM JAR WITH GREEN LID,12,01-12-2010 13:24,0.85,12433,Norway
536532,22962,JAM JAR WITH PINK LID,12,01-12-2010 13:24,0.85,12433,Norway
536532,22961,JAM MAKING SET PRINTED,24,01-12-2010 13:24,1.45,12433,Norway
536532,84375,SET OF 20 KIDS COOKIE CUTTERS,24,01-12-2010 13:24,2.1,12433,Norway
536532,22966,GINGERBREAD MAN COOKIE CUTTER,24,01-12-2010 13:24,1.25,12433,Norway
536532,21874,GIN AND TONIC MUG,24,01-12-2010 13:24,1.25,12433,Norway
536532,21873,IF YOU CAN'T STAND THE HEAT MUG,24,01-12-2010 13:24,1.25,12433,Norway
536532,21870,I CAN ONLY PLEASE ONE PERSON MUG,24,01-12-2010 13:24,1.25,12433,Norway
536532,22956,36 FOIL HEART CAKE CASES,12,01-12-2010 13:24,2.1,12433,Norway
536532,84050,PINK HEART SHAPE EGG FRYING PAN,72,01-12-2010 13:24,1.25,12433,Norway
536532,84991,60 TEATIME FAIRY CAKE CASES,24,01-12-2010 13:24,0.55,12433,Norway
536532,84992,72 SWEETHEART FAIRY CAKE CASES,24,01-12-2010 13:24,0.55,12433,Norway
536532,21213,PACK OF 72 SKULL CAKE CASES,24,01-12-2010 13:24,0.55,12433,Norway
536532,21977,PACK OF 60 PINK PAISLEY CAKE CASES,24,01-12-2010 13:24,0.55,12433,Norway
536532,21212,PACK OF 72 RETROSPOT CAKE CASES,24,01-12-2010 13:24,0.55,12433,Norway
536532,22198,LARGE POPCORN HOLDER ,48,01-12-2010 13:24,1.65,12433,Norway
536532,22197,SMALL POPCORN HOLDER,72,01-12-2010 13:24,0.85,12433,Norway
536532,22315,200 RED + WHITE BENDY STRAWS,12,01-12-2010 13:24,1.25,12433,Norway
536532,22667,RECIPE BOX RETROSPOT ,12,01-12-2010 13:24,2.95,12433,Norway
536532,22666,RECIPE BOX PANTRY YELLOW DESIGN,12,01-12-2010 13:24,2.95,12433,Norway
536532,22665,RECIPE BOX BLUE SKETCHBOOK DESIGN,12,01-12-2010 13:24,2.95,12433,Norway
536532,22558,CLOTHES PEGS RETROSPOT PACK 24 ,24,01-12-2010 13:24,1.49,12433,Norway
536532,22567,20 DOLLY PEGS RETROSPOT,24,01-12-2010 13:24,1.25,12433,Norway
536532,85150,LADIES & GENTLEMEN METAL SIGN,12,01-12-2010 13:24,2.55,12433,Norway
536532,21166,COOK WITH WINE METAL SIGN ,12,01-12-2010 13:24,1.95,12433,Norway
536532,85152,HAND OVER THE CHOCOLATE   SIGN ,24,01-12-2010 13:24,2.1,12433,Norway
536532,82600,NO SINGING METAL SIGN,24,01-12-2010 13:24,2.1,12433,Norway
536532,21733,RED HANGING HEART T-LIGHT HOLDER,6,01-12-2010 13:24,2.95,12433,Norway
536532,20685,DOORMAT RED RETROSPOT,2,01-12-2010 13:24,7.95,12433,Norway
536532,22842,BISCUIT TIN VINTAGE RED,6,01-12-2010 13:24,6.75,12433,Norway
536532,22494,EMERGENCY FIRST AID TIN ,24,01-12-2010 13:24,1.25,12433,Norway
536532,21260,FIRST AID TIN,12,01-12-2010 13:24,3.25,12433,Norway
C537838,22299,PIG KEYRING WITH LIGHT & SOUND ,-4,08-12-2010 15:01,1.25,13115,United Kingdom
537839,21174,POTTERING IN THE SHED METAL SIGN,1,08-12-2010 15:02,1.95,,United Kingdom
537839,21774,DECORATIVE CATS BATHROOM BOTTLE,1,08-12-2010 15:02,1.25,,United Kingdom
537839,21903,MAN FLU METAL SIGN,1,08-12-2010 15:02,2.1,,United Kingdom
537839,21892,TRADITIONAL WOODEN CATCH CUP GAME ,1,08-12-2010 15:02,1.25,,United Kingdom
537839,21889,WOODEN BOX OF DOMINOES,1,08-12-2010 15:02,1.25,,United Kingdom
537839,22966,GINGERBREAD MAN COOKIE CUTTER,1,08-12-2010 15:02,1.25,,United Kingdom
537839,22659,LUNCH BOX I LOVE LONDON,1,08-12-2010 15:02,1.95,,United Kingdom
537839,22531,MAGIC DRAWING SLATE CIRCUS PARADE  ,1,08-12-2010 15:02,0.42,,United Kingdom
537839,22142,CHRISTMAS CRAFT WHITE FAIRY ,1,08-12-2010 15:02,1.45,,United Kingdom
537840,22845,VINTAGE CREAM CAT FOOD CONTAINER,2,08-12-2010 15:03,6.35,13531,United Kingdom
537840,20711,JUMBO BAG TOYS ,10,08-12-2010 15:03,1.95,13531,United Kingdom
537840,22386,JUMBO BAG PINK POLKADOT,10,08-12-2010 15:03,1.95,13531,United Kingdom
537840,85099C,JUMBO  BAG BAROQUE BLACK WHITE,10,08-12-2010 15:03,1.95,13531,United Kingdom
537840,85099B,JUMBO BAG RED RETROSPOT,20,08-12-2010 15:03,1.95,13531,United Kingdom
537840,22381,TOY TIDY PINK POLKADOT,5,08-12-2010 15:03,2.1,13531,United Kingdom
537840,22379,RECYCLING BAG RETROSPOT ,5,08-12-2010 15:03,2.1,13531,United Kingdom
537840,22385,JUMBO BAG SPACEBOY DESIGN,10,08-12-2010 15:03,1.95,13531,United Kingdom
537840,21217,RED RETROSPOT ROUND CAKE TINS,4,08-12-2010 15:03,9.95,13531,United Kingdom
537840,21843,RED RETROSPOT CAKE STAND,2,08-12-2010 15:03,10.95,13531,United Kingdom
537840,22423,REGENCY CAKESTAND 3 TIER,2,08-12-2010 15:03,12.75,13531,United Kingdom
537840,21035,SET/2 RED RETROSPOT TEA TOWELS ,6,08-12-2010 15:03,2.95,13531,United Kingdom
537840,47567B,TEA TIME KITCHEN APRON,3,08-12-2010 15:03,5.95,13531,United Kingdom
537840,22567,20 DOLLY PEGS RETROSPOT,12,08-12-2010 15:03,1.25,13531,United Kingdom
537840,22844,VINTAGE CREAM DOG FOOD CONTAINER,2,08-12-2010 15:03,8.5,13531,United Kingdom
537841,16014,SMALL CHINESE STYLE SCISSOR,1000,08-12-2010 15:10,0.32,13848,United Kingdom
537842,22093,MOTORING TISSUE BOX,1,08-12-2010 15:12,1.25,13140,United Kingdom
537842,22095,LADS ONLY TISSUE BOX,1,08-12-2010 15:12,1.25,13140,United Kingdom
537842,21166,COOK WITH WINE METAL SIGN ,1,08-12-2010 15:12,1.95,13140,United Kingdom
537842,21169,YOU'RE CONFUSING ME METAL SIGN ,1,08-12-2010 15:12,1.69,13140,United Kingdom
537842,85123A,WHITE HANGING HEART T-LIGHT HOLDER,5,08-12-2010 15:12,2.95,13140,United Kingdom
537842,22335,HEART DECORATION PAINTED ZINC ,8,08-12-2010 15:12,0.65,13140,United Kingdom
537842,84975,HEART SHAPED MIRROR,2,08-12-2010 15:12,1.69,13140,United Kingdom
537842,35833P,4 PINK FLOCK CHRISTMAS BALLS,1,08-12-2010 15:12,1.25,13140,United Kingdom
537842,22295,HEART FILIGREE DOVE LARGE,12,08-12-2010 15:12,1.65,13140,United Kingdom
537842,84836,ZINC METAL HEART DECORATION,12,08-12-2010 15:12,1.25,13140,United Kingdom
537842,21713,CITRONELLA CANDLE FLOWERPOT,4,08-12-2010 15:12,2.1,13140,United Kingdom
537842,35833P,4 PINK FLOCK CHRISTMAS BALLS,1,08-12-2010 15:12,1.25,13140,United Kingdom
537842,84944,SET OF 6 KASHMIR FOLKART BAUBLES,6,08-12-2010 15:12,4.25,13140,United Kingdom
537842,85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,4,08-12-2010 15:12,7.95,13140,United Kingdom
537842,84879,ASSORTED COLOUR BIRD ORNAMENT,8,08-12-2010 15:12,1.69,13140,United Kingdom
537842,21136,PAINTED METAL PEARS ASSORTED,8,08-12-2010 15:12,1.69,13140,United Kingdom
537843,22645,CERAMIC HEART FAIRY CAKE MONEY BANK,12,08-12-2010 15:16,1.45,15713,United Kingdom
537843,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,08-12-2010 15:16,2.95,15713,United Kingdom
537843,22778,GLASS CLOCHE SMALL,4,08-12-2010 15:16,3.95,15713,United Kingdom
537843,22777,GLASS CLOCHE LARGE,2,08-12-2010 15:16,8.5,15713,United Kingdom
537843,22485,SET OF 2 WOODEN MARKET CRATES,2,08-12-2010 15:16,12.75,15713,United Kingdom
537843,21781,MA CAMPAGNE CUTLERY BOX,1,08-12-2010 15:16,14.95,15713,United Kingdom
544485,22972,CHILDREN'S SPACEBOY MUG,6,21-02-2011 11:35,1.65,17757,United Kingdom
544495,23231,WRAP DOILEY DESIGN,25,21-02-2011 11:42,0.42,12766,Portugal
544495,22637,PIGGY BANK RETROSPOT ,8,21-02-2011 11:42,2.55,12766,Portugal
544495,22139,RETROSPOT TEA SET CERAMIC 11 PC ,3,21-02-2011 11:42,4.95,12766,Portugal
544495,21498,RED RETROSPOT WRAP ,25,21-02-2011 11:42,0.42,12766,Portugal
544495,22937,BAKING MOULD CHOCOLATE CUPCAKES,6,21-02-2011 11:42,2.55,12766,Portugal
544495,22646,CERAMIC STRAWBERRY CAKE MONEY BANK,12,21-02-2011 11:42,1.45,12766,Portugal
544495,21914,BLUE HARMONICA IN BOX ,12,21-02-2011 11:42,1.25,12766,Portugal
544495,21500,PINK POLKADOT WRAP ,25,21-02-2011 11:42,0.42,12766,Portugal
544495,21915,RED  HARMONICA IN BOX ,12,21-02-2011 11:42,1.25,12766,Portugal
544495,21527,RED RETROSPOT TRADITIONAL TEAPOT ,6,21-02-2011 11:42,7.95,12766,Portugal
544495,21125,SET 6 FOOTBALL CELEBRATION CANDLES,12,21-02-2011 11:42,1.25,12766,Portugal
544495,21980,PACK OF 12 RED RETROSPOT TISSUES ,24,21-02-2011 11:42,0.29,12766,Portugal
544495,22550,HOLIDAY FUN LUDO,4,21-02-2011 11:42,3.75,12766,Portugal
544495,22457,NATURAL SLATE HEART CHALKBOARD ,12,21-02-2011 11:42,2.95,12766,Portugal
544495,20750,RED RETROSPOT MINI CASES,2,21-02-2011 11:42,7.95,12766,Portugal
544495,21122,SET/10 PINK POLKADOT PARTY CANDLES,24,21-02-2011 11:42,1.25,12766,Portugal
544495,21124,SET/10 BLUE POLKADOT PARTY CANDLES,24,21-02-2011 11:42,1.25,12766,Portugal
544495,21121,SET/10 RED POLKADOT PARTY CANDLES,24,21-02-2011 11:42,1.25,12766,Portugal
544495,21984,PACK OF 12 PINK PAISLEY TISSUES ,24,21-02-2011 11:42,0.29,12766,Portugal
544495,48184,DOORMAT ENGLISH ROSE ,2,21-02-2011 11:42,7.95,12766,Portugal
544495,84987,SET OF 36 TEATIME PAPER DOILIES,12,21-02-2011 11:42,1.45,12766,Portugal
544495,84520B,PACK 20 ENGLISH ROSE PAPER NAPKINS,12,21-02-2011 11:42,0.85,12766,Portugal
544495,21354,TOAST ITS - BEST MUM,12,21-02-2011 11:42,1.25,12766,Portugal
544495,22073,RED RETROSPOT STORAGE JAR,4,21-02-2011 11:42,3.75,12766,Portugal
544495,21218,RED SPOTTY BISCUIT TIN,6,21-02-2011 11:42,3.75,12766,Portugal
544495,22138,BAKING SET 9 PIECE RETROSPOT ,6,21-02-2011 11:42,4.95,12766,Portugal
544495,22662,LUNCH BAG DOLLY GIRL DESIGN,10,21-02-2011 11:42,1.65,12766,Portugal
544495,22366,DOORMAT AIRMAIL ,2,21-02-2011 11:42,7.95,12766,Portugal
544495,22851,SET 20 NAPKINS FAIRY CAKES DESIGN ,12,21-02-2011 11:42,0.85,12766,Portugal
544495,20685,DOORMAT RED RETROSPOT,2,21-02-2011 11:42,7.95,12766,Portugal
544495,22666,RECIPE BOX PANTRY YELLOW DESIGN,12,21-02-2011 11:42,2.95,12766,Portugal
544495,21531,RED RETROSPOT SUGAR JAM BOWL,6,21-02-2011 11:42,2.55,12766,Portugal
